"","TrainNo","AvgDelay"
"1167","15772",0
"1168","15815",17
"1169","15816",12
"1170","16205",15
"1171","16206",10
"1172","16305",9
"1173","16306",9
"1174","16341",12
"1175","16342",82
"1176","16579",14
"1177","16580",14
"1178","16721",9
"1179","16722",9
"1180","17009",8
"1181","17010",15
"1182","17011",14
"1183","17012",56
"1184","17639",18
"1185","17640",10
"1186","17641",50
"1187","17642",13
"1188","18007",15
"1189","18008",11
"1190","18107",37
"1191","18108",57
"1192","18301",15
"1193","18302",18
"1194","18303",39
"1195","01607",0
"1196","01610",22
"1197","06171",5
"1198","06172",2
"1199","52103",0
"1200","52104",0
"1201","52105",0
"1202","52106",0
"1203","52153",0
"1204","52154",0
"1205","52155",0
"1206","52156",0
"1207","52157",0
"1208","52158",0
"1209","52159",0
"1210","52160",0
"1211","52161",0
"1212","52162",0
"1213","52163",0
"1214","52164",0
"1215","52451",78
"1216","52452",15
"1217","52453",109
"1218","52454",4
"1219","52455",45
"1220","52456",10
"1221","52457",0
"1222","52458",0
"1223","52461",0
"1224","52462",0
"1225","52463",0
"1226","52464",0
"1227","52465",0
"1228","52466",0
"1229","52467",0
"1230","52468",0
"1231","52469",0
"1232","52470",0
"1233","52471",0
"1234","52472",0
"1235","52473",0
"1236","52474",0
"1237","52475",0
"1238","52476",0
"1239","52538",0
"1240","52539",0
"1241","52540",0
"1242","52541",0
"1243","52542",0
"1244","52544",0
"1245","52545",0
"1246","52546",0
"1247","52559",0
"1248","52587",0
"1249","52588",0
"1250","52590",0
"1251","52591",0
"1252","52592",0
"1253","52593",0
"1254","52594",0
"1255","52595",0
"1256","52596",0
"1257","52597",0
"1258","52598",0
"1259","52599",0
"1260","52966",0
"1261","56136",0
"1262","56137",0
"1263","56138",0
"1264","56139",0
"1265","56140",0
"1266","56141",0
"1267","56142",0
"1268","56143",0
"1269","01615",13
"1270","01616",25
"1271","01625",13
"1272","01626",21
"1273","01883",56
"1274","01884",18
"1275","01885",68
"1276","01886",98
"1277","01887",17
"1278","01888",21
"1279","01889",17
"1280","01890",12
"1281","03081",68
"1282","03082",90
"1283","03377",82
"1284","03378",25
"1285","03389",87
"1286","03390",59
"1287","03393",70
"1288","03394",49
"1289","03407",254
"1290","03408",91
"1291","03463",8
"1292","03464",6
"1293","03521",35
"1294","03522",25
"1295","03525",22
"1296","03526",19
"1297","03527",23
"1298","03528",21
"1299","03618",296
"1300","03629",66
"1301","03630",62
"1302","03767",23
"1303","03768",38
"1304","04107",27
"1305","04108",27
"1306","04767",13
"1307","04770",14
"1308","04773",9
"1309","04774",10
"1310","04793",23
"1311","04794",55
"1312","05189",16
"1313","05190",27
"1314","05381",58
"1315","05382",87
"1316","05395",340
"1317","05396",61
"1318","05411",34
"1319","05412",17
"1320","05425",53
"1321","05426",90
"1322","05539",25
"1323","05540",73
"1324","05549",76
"1325","05550",49
"1326","05601",26
"1327","05602",20
"1328","05605",124
